ID;TÍTULO;ISBN
069;Kickback 2. El vientre de la ballena;84-674-2705-1
070;Doctor Jekyll y Mister Hyde;84-8449-235-1
071;Caboto;84-8449-492-6
072;Cartas de una época remota;84-8449-676-2
073;Tabú;84-8449-012-2
074;Los desesperados;978-84-9947-052-8
075;Canetor;978-84-9847-374-2
076;La lectura de las ruinas;978-84-9847-466-4
077;El capitán escarlata;84-8449-935-9
078;Hard Boiled;978-84-679-2729-0
079;Big Guy y Rusty el chico robot;978-84-9847-850-1
080;Batman: Año Uno;978-84-17176-13-6
081;Ronin;978-84-16711-67-3
082;Bad Boy;84-8431-116-3
083;Cofre Martha Washington;978-84-679-1741-3
084;Hellboy Volumen 1;978-84-679-0347-8
085;Hellboy Volumen 2;978-84-679-0713-1
086;Hellboy Volumen 3;978-84-679-1343-9
087;Hellboy en el infierno;978-84-679-3300-0
088;Hyde;978-84-9814-841-1
089;Relatos de un carbonero;978-84-96706-69-9
090;Breakdown 1. Impacto;978-84-96706-89-7
091;Breakdown 2. Diluvio;978-84-92458-10-3
092;Breakdown 3. Tokio arrasado;978-84-92458-10-3
093;Breakdown 4. Retorno a la naturaleza;978-84-92458-43-1
094;La nueva isla del tesoro;978-84-8357-364-8
095;Lost World;978-84-8449-938-1
096;Metropolis;84-8449-562-0
097;Next World;978-84-8357-359-4
098;Bodyworld;978-84-96722-72-9
099;El bus;978-84-942476-3-7
100;Negro oscuro;978-84-7833-786-6
101;El eternauta. Edición especial 50 aniversario;978-84-9847-394-0
102;Be Bop;84-89929-19-X
103;Love In Vain;978-84-16417-02-5
104;300;978-84-8431-028-0
105;Don Quijote de la Mancha. Ilustraciones de Gustavo Doré;978-84-9794-369-7
106;La Biblia: Antiguo Testamento. Ilustraciones de Gustavo Doré;978-84-9794-370-3
107;La Biblia: Nuevo Testamento. Ilustraciones de Gustavo Doré;978-84-9794-371-0
108;Diccionario Akal del color;84-460-1083-6
109;El Escorial. Octava maravilla del mundo;84-7120-013-9
110;Juan de Herrera. Arquitecto de Felipe II;84-460-0582-4
111;Batman: La broma asesina;978-84-15925-60-6
112;El soldado desconocido;978-84-16796-83-0
113;Dave Gibbons;978-84-17147-91-4
114;Orbitador;978-84-16660-26-1
115;Solo un peregrino;978-84-679-0535-9
116;Kid Eternity;978-84-17960-79-7
117;Camelot 3000;978-84-19021-84-7
118;The Crow;978-84-679-3032-0
119;Joker;978-84-16475-80-3
120;Epiléptico. La ascensión del gran mal;978-84-96722-48-4
121;Hablando del diablo;978-84-7833-884-9
122;Gavrilo Princip. El hombre que cambió el siglo;978-1-910856-29-1
123;Atlas ilustrado del Graffiti y arte urbano;978-84-677-1631-3
124;Caído del cielo. Guía para obervar el firmamento de día y de noche;978-84-460-2268-8
125;Morlac;978-84-934949-2-6
126;Jonny Double;978-84-16945-09-2
127;Brian Azzarello;978-84-16711-68-0
128;La evolución de nuestro universo;84-832-3031-3
129;Zanardi;978-84-16167-17-3
130;Corre Zanardi;978-84-17617-03-5
131;Pompeo;978-84-16167-97-5
132;Dan Lacombe;84-8449-558-2
133;Light & Bold;987-84-8357-807-0
134;Super Humor: Especial Mundiales;84-406-4194-X
135;Corpus Monstrum Volumen 1;84-96425-91-6
136;Maese Espada;84-8449-921-9
137;Tupac Shakur. El rap de la muerte;84-934717-2-0
138;Bolland Strips!;978-84-8357-177-4
139;Crepúsculo;84-86450-61-6
140;S.O.U.L.;
141;Transmetropolitan: Libro uno;978-84-17871-14-7
142;Transmetropolitan: Libro dos;978-84-17908-92-8
143;Transmetropolitan: Libro tres;978-84-18043-58-1
144;Transmetropolitan: Libro cuatro;978-84-18120-66-4
145;Transmetropolitan: Libro cinco;978-84-17871-69-7
146;Contrato con Dios: La trilogía;978-84-9814-686-8
147;Nueva York: La vida en la gran ciudad;978-84-9847-165-6
148;La vida en viñetas: Historias autobiográficas;978-84-9814-950
149;Moda. Historia y estilos;978-0-241-42056-0
150;David Bowie is inside;978-84-16665-62-4
151;Los carnívoros;84-7904-430-6
152;Mata a tu novio;84-7904-569-9
153;Seis;978-84-965587-86-1
154;Grip, el extraño mundo de los hombres;84-96415-20-1
155;Industrial Gothic;84-96402-68-1
156;City of Tomorrow!;84-9814-843-X
157;Supergod;978-84-9947-335-2
158;Doktor Sleepless: Engines of Desire;978-84-8357-941-1
159;Alan Moore's The Courtyard;978-84-96587-29-8
160;Narcopolis;978-84-9947-038-2
161;Terminator: Tierra en llamas;84-9640-280-0
162;El clavo;84-9814-429-9
163;Negative Burn 1;84-96402-90-8
164;Negative Burn 2;84-96402-94-0
165;Miserere 1;84-96402-18-5
166;Miserere 2;84-96402-35-5
167;Eddy Current 1;84-9814-558-9
168;Eddy Current 2;84-9814-559-7
169;Eddy Current 3;84-9814-560-0
170;The Extremist;84-96141-15-2
171;Hell Eternal;84-931809-7-1
172;Otro romance suburbano;978-84-9947-036-8
173;Silent Dragon;84-9814-834-0
174;Terminal City 1;84-7904-831-X
175;Terminal City 2;84-7904-832-8
176;Terminal City 3;84-7904-833-6
177;Terminal City: Graffiti Aérero 1;84-7904-120-1
178;Terminal City: Graffiti Aérero 2;84-8431-121-X
179;Jeremiah Harm;978-84-9847-104-5
180;Smoke. Los niños bueno crecen;84-9814-671-2
181;Cain;84-9814-435-3
182;Ocean;978-84-9814-940-1
183;Yo, vampiro 1. La resurreción;84-9814-200-8
184;Yo, vampiro 2. La maldición;84-9814-255-5
185;Yo, vampiro 3. La destrucción;84-9814-366-7
186;Yo, vampiro 4. La resolución;84-9814-392-6
187;The Lurkers;978-84-9847-115-1
188;Karney;978-84-9847-117-5
189;Gigante;84-9814-738-7
190;Damn Nation;978-84-9814-953-1
191;Guía celeste mensual;84-8323-359-2
192;Mara;978-84-16249-12-1
193;Aghardi;978-84-9947-583-7
194;Absurdus Delirium;84-8449-500-0
195;Todo es posible;978-84-8357-800-1
196;Josep Coll, el observador perplejo;978-84-942399-4-6
197;Por soleá (2.5);978-84-96730-20-5
198;El tiempo arrebatado;978-84-96730-01-4
199;Jonathan Struppy. El condenado del faro;978-84-16486-22-9
200;Robny el vagabundo;978-84-15201-56-4
201;Dieter Lumpen. Edición Integral;978-84-15685-49-4
202;Peter Pank. Edición Integral;978-84-15724-12-4
203;Ariadna & Barbazul;84-7904-042-4
204;Las crónicas del sin nombre;84-8449-774-7
205;Nova-2;84-8449-561-2
206;La esfera cúbica;978-84-8357-680-9
207;En un lugar de la mente;84-8449-121-8
208;Siete vidas; 978-84-16251-96-4
209;Peter Hipnos;978-84-16249-39-8
210;La muralla;978-84-16249-24-4
211;Historias de taberna galáctica. Edición definitiva;978-84-16249-17-6
212;Josep María Beà. El hombre de los mil estilos;978-84-16249-20-6
213;Señal y ruido;978-84-96815-48-3
214;Corazón de arlequín;84-8431-673-4
215;Violent cases;978-84-684-7736-7
216;Cages. Edición 25 aniversario;978-84-16945-14-6
217;Orquídea negra;978-84-16840-44-1
218;Misterios de un asesinato;978-84-16475-34-6
219;Criaturas de la noche;978-84-16746-21-7
220;La verdad sobre el caso de la desaparación de la Srta. Finch;978-84-16796-86-1
221;El artefacto perverso;978-84-16409-98-3
222;Mundo mutante;978-84-18475-31-3
223;Hijos del mundo mutante;978-84-18569-21-0
224;Predicador I;978-84-18043-19-2
225;Predicador II;978-84-18120-23-7
226;Predicador III;978-84-18225-59-8
227;Predicador IV;978-84-18326-71-4
228;Predicador V;978-84-18475-63-4
229;Predicador VI;978-84-18658-52-5
230;Viaje con Bill;978-84-9947-002-3
231;Lo mejor de Future Shocks;978-84-935678-2-8
232;The Ride;84-96402-46-0
233;Deep Sleeper;84-96402-79-7
234;A sangre fría;978-84-339-7299-6
235;La senda del perdedor;978-84-339-1469-9
236;Factótum;978-84-339-2005-8
237;Cartero;978-84-339-2063-8
238;Ángeles de Desolación;978-84-339-0158-3
239;En el camino;978-84-339-2014-0
240;Los vagabundos del Dharma;978-84-339-6672-8
241;Yonqui;978-84-339-6642-1
242;El almuerzo desnudo;978-84-339-2008-9
243;Crimen y castigo;978-84-08-15576-8
244;El corazón de las tinieblas;978-84-9942-939-7
245;La vida del Buscón;978-84-376-0237-0
246;Fahrenheit 451;978-84-663-5671-8
247;Ulises;978-84-9794-542-4
248;Divina comedia;978-84-17477-67-7
249;La aventura antártica del Endurance;978-84-350-3985-7
250;Black Book. The live history of Blur;978-1-4801-7120-6
251;Los mejores 13 episodios de Golgo 13 Vol.1;978-84-9947-772-5
252;Los mejores 13 episodios de Golgo 13 Vol.2;978-84-9947-773-5
253;Un mundo feliz;978-980-7716-06-2
254;Sobre la amistad. (Ética a Nicómaco);84-413-2189-2
255;Bit of a Blur;978-0-349-11993-9
256;Episodios Nacionales. La Guerra de la Independencia [Estuche];978-84-9181-962-2
257;Jack Nicholson: Biografía;978-84-92626-55-7
258;La balada de Halo Jones;978-84-92534-39-5
259;Nuestro Sistema Solar y su lugar en el cosmos;84-8323-110-7
260;Dalí Joyas;978-84-8478-530-9
261;Capitán Harlock Integral;978-84-679-2447-3
262;Vida de Don Gregorio Guadaña - El Sagaz Estacio;84-96188-48-5
263;1984;978-980-7716-14-7
264;La República;978-84-17079-95-6
265;Tormentas en el espacio;84-8323-305-3
266;Estigmas;84-932025-0-9
267;Ciudadano Rex;978-84-7833-940-2
268;Guía celeste de David Levy;84-8323-350-9
269;Alter Ego;978-84-936219-2-6
270;Una odisea espacial: La saga completa;978-84-663-4322-0
271;Viaje a Arcturus;978-84-945029-4-1
272;Blade Runner. ¿Sueñan los androides con ovejas eléctricas?;978-84-350-2090-9
273;Bodas de sangre;978-84-9794-240-9
274;Poeta en Nueva York;978-84-9794-239-3
275;Meditaciones;978-84-376-1931-6
276;Utopía;978-84-15089-13-1
277;El mundo perdido;978-84-17079-66-6
278;Piensaciertos;978-84-941680-1-7
279;El sutil cordobés Pedro de Urdemalas;84-96188-61-2
280;El señor de Bembibre. Tomo I;84-96528-11-1
281;El señor de Bembibre. Tomo II;84-96528-12-X
282;Los sueños;84-96528-14-6
283;Eudoxia;84-96574-30-X
284;Vans Of The Wall. A european skateboard movie;978-1-907875-00-7
285;Argelia;84-85631-10-2
286;Ché;84-85631-23-4
287;Hombre vol. 1;978-84-19972-96-5
288;Regreso a Kosovo;978-88-99086-01-5
289;Obras Maestras;84-7039-873-3
290;Grandes de lo macabro;978-84-18589-09-6
291;Joan Boix Antología;978-84-18589-15-7
292;Batman: El regreso del caballero oscuro;978-84-17509-85-9
293;Batman: El contrataque del caballero oscuro;978-84-16901-52-4
294;Batman: El largo Halloween;978-84-19163-47-9
295;Paul Pope;978-84-16998-09-8
296;Eduardo Risso;978-84-16901-05-0
297;City of Dust;978-84-15201-69-4
298;Time Bomb;978-84-15201-58-8
299;Superstate;978-1-954928-36-7
300;Dear Patagonia;978-84-96722-80-4
301;Sangre Armenia;978-84-8357-819-3
302;Marketing & Utopía Made In USA;84-89966-13-3
303;Cyberpunk 207: La Guía Oficial Completa (Edición coleccionista);978-1-911015-86-4
304;Citroën 2CV y otros modelos míticos;978-84-677-9898-2
305;Blade Runner: El libro del 40 aniversario;978-84-18181-43-6
306;El monstruo de Frankestein;978-84-666-4694-9
307;Drácula;978-84-666-4968-1
308;Billi 99;84-96325-39-3
309;El arte de la guerra. La nueva edición ilustrada;978-90-8998-740-2
310;El vendedor de estropajos;978-84-15163-03-9
311;Serpientes y escaleras;978-84-15163-69-5
312;El amnios natal;978-84-15163-68-8
313;Dentro de la noche;978-84-15201-71-7
314;El viaje;84-95825-84-8
315;Blur: 3862 days. The Official History;0-735-0287-9
316;Vigilancia permanente;978-84-08-21556-1
317;Pompa y circunstancia;978-84-8357-798-1
318;El rumor de la escarcha;84-395-9806-0
319;Sebastian Gorza;84-86450-88-8
320;Cuentos de Cuculis;978-84-9947-145-7
321;Lobos de Arga;978-84-9947-342-0
322;El hombre con miedo;978-84-9947-505-9
323;Soledades e ilusiones;84-96370-02-X
324;Nankin;978-84-92534-85-2
325;Pequeño diccionario visual de términos arquitectónicos;978-84-376-3125-7
326;La metamorfosis;978-84-15089-11-7
327;El arte de la guerra;978-84-96975-33-0
328;Cómo vivió y murió Felipe II;978-84-9761-393-4
329;Historia primitiva y exacta del Monasterio del Escorial;978-84-9761-042-1
330;El Escorial;978-84-9001-162-1
331;Episodios Nacionales. Segunda serie: El Deseado [Estuche];978-84-1148-625-5
332;Desfase;84-85631-22-6
333;El mundo de la célula: La vida en pequeña escala;970-756-064-9
334;Stanley Kubrick: Biografía;978-84-15405-35-1
335;Drácula;978-84-9794-535-6
336;Los siete libros de la Diana;84-96528-15-4
337;Antología;84-96188-20-5
338;Libro de Alexandre. Tomo I;84-96188-04-3
339;Libro de Alexandre. Tomo II;84-96188-05-1
340;Proverbios morales;84-96155-43-9
341;Cant de mort. Cant espiritual;84-96155-98-6
342;Cancionero;84-96155-06-4
343;Laberinto de fortuna o las trescientas;84-96155-67-6
344;Antología;84-96155-77-3
345;Romancero viejo. Tomo I;84-96155-51-X
346;Romancero viejo. Tomo II;84-96155-52-8
347;Líricas castellanas;84-85232-91-7
348;Poesía;84-96155-31-5
349;Sonetos y canciones;84-85232-72-0
350;Sonetos, canciones, epístola, elegías y coplas;84-85232-75-5
351;Sonetos y madrigales;84-96155-09-9
352;Poesías. Tomo I;84-96155-21-8
353;Poesías. Tomo II;84-96155-22-6
354;Poemas de la Diana;84-85232-78-X
355;Sonetos, octavas, epístolas, canciones y coplas;84-85232-77-1
356;Varias poesías. Tomo I;84-96155-11-0
357;Varias poesías. Tomo II;84-96155-12-9
358;Poemas de amor y fiesta. Tomo I;84-96188-08-6
359;Poemas de amor y fiesta. Tomo II;84-96188-09-4
360;La Araucana. Tomo I;84-96155-36-6
361;La Araucana. Tomo II;84-96155-37-4
362;La Araucana. Tomo III;84-96155-38-2
363;La Araucana. Tomo IV;84-96155-39-0
364;La Araucana. Tomo V;84-96155-40-4
365;Poesía. Tomo I;84-96155-70-6
366;Poesía. Tomo II;84-96155-71-4
367;Poesía. Tomo III;84-96155-72-2
368;Lírica. Tomo I;84-96155-24-2
369;Lírica. Tomo II;84-96155-25-0
370;Antología Poética. Tomo I;84-85232-87-9
371;Antología Poética. Tomo II;84-85232-88-7
372;Poesías;84-96155-08-0
373;Poesía. Tomo I;84-85232-89-5
374;Poesía. Tomo II;84-85232-90-9
375;Fábula de Polifemo y Galatea. Soledades;84-85232-81-X
376;Poemas para Lisi y otros sonetos amatorios;84-85232-98-4
377;Poemas metafísicos. Heráclito cristiano. Poemas morales. Tomo I;84-85232-96-8
378;Poemas metafísicos. Heráclito cristiano. Poemas morales. Tomo II;84-85232-97-6
379;Sonetos de las rimas humanas y divinas del licenciado Tomé de Burguillos;84-96155-15-3
380;Rimas;84-96155-17-X
381;Paraíso cerrado para muchos, jardines abiertos para pocos;84-96155-18-8
382;Poesías varias;84-96155-83-8
383;Poesías. Tomo I;84-96155-85-4
384;Poesías. Tomo II;84-96155-86-2
385;El juicio de París y otros poemas;84-96155-53-6
386;Fábulas literarias;84-96155-41-2
387;Poesías sueltas;84-96155-76-5
388;Poesías. Tomo I;84-96155-93-5
389;Poesías. Tomo II;84-96155-94-3
390;Poesías varias;84-96155-49-8
391;Poesías;84-96155-88-9
392;El estudiante de Salamanca y otros poemas;84-96155-19-6
393;El diablo mundo. Tomo I;84-96155-56-0
394;El diablo mundo. Tomo II;84-96155-57-9
395;Romances históricos;84-96155-79-X
396;Letrillas y epigramas;84-96155-87-0
397;La soledad;84-96155-33-1
398;Doloras, humoradas y pequeños poemas;84-96155-60-9
399;Orientales;84-96155-03-X
400;La vida inquieta;84-96155-99-4
401;Dolores;84-96155-58-7
402;Epístolas, romances y otros versos;84-96155-74-9
403;Selección de poesía;84-96155-42-0
404;El libro de versos;84-96155-30-7
405;Glosario de castellano clásico;84-96188-10-8
406;Raquel;978-84-8392-065-7
407;Entremeses;978-84-96663-97-8
408;El Marqués de Mantua;978-84-96663-64-0
409;Contra valor no hay desdicha;978-84-96663-49-7
410;El rufián dichoso;978-84-96663-89-3
411;Arcipreste de Talavera (El Corbacho);84-96188-82-5
412;Ni rey ni roque. Tomo I;84-96528-07-3
413;Ni rey ni roque. Tomo II;84-96528-08-1
414;Obra completa;84-96574-39-3
415;La Serafina;84-96574-38-5
416;Selva de aventuras;84-96574-40-7
417;Cárcel de amor;84-96528-28-6
418;El Victorial. Tomo I;84-96663-10-8
419;El Victorial. Tomo II;84-96663-11-6
420;Andanzas e viajes;84-96528-27-8
421;La Cintia de Aranjuez;84-96663-15-9
422;El dia de fiesta por la mañana;84-96574-90-3
423;El dia de fiesta por la tarde;84-96574-91-1
424;Milagros de Nuestra Señora;84-85232-40-2
425;Poema de Fernán González;84-96188-06-X
426;Antología Poética;84-96155-44-7
427;Crónicas marcianas;978-84-450-0878-2
428;Guerra y paz;978-84-9794-541-7
429;Las memorías de Amorós I. Firmado: Mister Foo;84-85631-59-5
430;Las memorías de Amorós II. La luz de un siglo muerto;84-85631-60-9
431;Las memorías de Amorós III. Las alas calmas;84-85631-57-9
432;Las memorías de Amorós IV. Firmado: Ars profética;84-85631-58-7
433;Poesía;84-85232-70-4
434;Poemas de La Galatea. Tomo I;84-85232-93-3
435;Poemas de La Galatea. Tomo II;84-85232-94-1
436;Poesías Líricas;84-96155-73-0
437;Leyendas;84-96155-68-4
438;Diálogo de la Lengua - Diálogo de las cosas acaecidas en Roma;84-96528-85-5
439;El gran príncipe de Fez. Tomo I;978-84-8392-029-9
440;El gran príncipe de Fez. Tomo II;978-84-8392-030-5
441;La Dorotea. Tomo I;84-96528-57-X
442;La Dorotea. Tomo II; 84-96528-58-8
443;Diálogo de Mercurio y Carón;84-96574-32-6
444;One Day;978-84-8357-304-4
445;El Experimento;978-84-8449-977-0
446;Kung Fu Kiyo;978-84-8357-799-8
447;La casa donde sueñan los árboles;84-7904-313-X
448;Sonny Boy. Memorias;978-84-480-4174-8
449;Verse, Chorus, Monster!;978-0-571-32213-8
450;Blur. The complete quiz book;979-83-011-3141-7
451;La vida es sueño;978-84-376-0092-5
452;Hombre vol. 2;978-84-10330-35-1
453;Y los hipopótamos se cocieron en sus tanques; 978-84-339-7677-2
454;Batman: Victoria Oscura;978-84-19163-48-6
455;Queer;978-84-339-2742-2
456;Batman: Caballero Maldito;978-84-19920-90-4
457;Colmillo blanco / La llamada de lo salvaje;978-84-9794-626-1
458;Over the Rainbow;978-0-241-71555-0
459;1984;978-84-9989-094-4
460;Un mundo feliz;978-84-9759-425-7
461;Batman: La broma asesina (Edición Deluxe extendida);978-84-17665-14-2
462;Batman: Asilo Arkham (Edición Deluxe);978-84-17644-31-4
463;San Isidro Labrador de Madrid;978-84-96663-55-8
464;Gary Cooper. El héroe americano;978-84-92626-90-8
465;Hitchcock. Una vida de luces y sombras;978-84-95602-99-2
466;Rimas;84-96155-78-1
467;Relaciones de la vida del escudero Marcos de Obregón. Tomo I;84-96188-50-7
468;Relaciones de la vida del escudero Marcos de Obregón. Tomo II;84-96188-51-5
469;Los archivos personales de Stanley Kubrick;978-3-8365-5685-9
470;Moonfire. El viaje épico del Apollo 11;978-3-8365-7116-6
471;Los Ángeles del Infierno. Una extraña y terrible saga;978-84-339-7586-7
472;La metamorfosis y otros relatos de animales;978-84-670-4364-8
473;El hombre y sus símbolos;978-84-493-4425-1
474;Mujeres;978-84-339-2099-7
